date,tweet
2020-08-10 18:01:00,"What an incredible story... Stephen was sent to prison for dealing drugs. By the time he'd left prison, he'd gained… https://t.co/VmBcdyfG34"
2020-08-10 16:01:00,"Who knew deadly could be so cute! The black-footed cat is the deadliest wild cat in the world 😲

#BigCats
https://t.co/ApsQnCQHBF"
2020-08-10 13:54:18,"This meerkat ambush-turned-love story has more plot twists than I can keep up with…

#MeerkatManor https://t.co/nvmCLgUQmS"
2020-08-09 13:01:00,"Just two minutes of @Scott_Mills &amp; @Chris_Stark absolutely losing it at these funny business names 😂
https://t.co/4QDrxzz4XB"
2020-08-09 11:01:00,"A tourist posing for a photo broke the toes of a 19th Century Antonio Canova sculpture in an Italian museum.
https://t.co/4HJur0LyKO"
2020-08-08 18:01:00,"#Thor: The Dark World, starring @chrishemsworth and Natalie Portman, is on @BBCOne &amp; @BBCiPlayer at 10:20pm.  ⚡️

👉… https://t.co/SZxZCb5eki"
2020-08-08 14:01:00,"Roald Dahl's classic tale #TheBFG is on @BBCOne &amp; @bbciplayer at 4:30pm. 🙌

Directed by #StevenSpielberg and starri… https://t.co/0I9MqlZH1e"
2020-08-08 14:01:00,"Roald Dahl's classic tale #TheBFG is on @BBCOne &amp; @bbciplayer at 4:30pm. 🙌

Directed by #StevenSpielberg and starri… https://t.co/0I9MqlZH1e"
2020-08-08 11:01:00,"""I just love helping, I'm not ready to give it up.""

Dr Melissa Freeman is a 94-year-old doctor who's still practis… https://t.co/I6gkJKEftP"
2020-08-08 09:01:00,"Remembering this could save your life. 👇

If you're heading to the beach or an open water location this weekend mak… https://t.co/hkvJM2AKka"
2020-08-07 19:01:00,"As part of #BBCProms season, @1Xtra's 2015 Grime Symphony is being revisited tonight, 11:30pm, @BBCFOUR &amp;… https://t.co/hQMsct3357"
2020-08-07 16:01:00,"Wow, talk about a bad day at the office... 😳 #QI
https://t.co/iLi8i7USh4"
2020-08-07 13:58:16,#MeerkatManor is streaming now on BBC iPlayer. https://t.co/gQ0cnnE8Yg
2020-08-07 13:57:58,"The way this meerkat looks after her injured brother is heartwarming ❤️

#MeerkatManor https://t.co/zECCSCngub"
2020-08-06 16:01:00,"Caught in a whirlwind of chaos, follow the hapless Stuart in real-time as he struggles through the worst half hour… https://t.co/zhCfWae1gS"
2020-08-06 13:25:38,"Listen to more powerful, personal stories about mental health right here: https://t.co/w5pBZxiXdp"
2020-08-06 13:00:00,"""I’m not racist – I’ve watched Django three times on Blu-Ray!"" 🙄

By @munyachawawa.

In partnership with… https://t.co/FgB0bgBBnZ"
2020-08-05 16:01:00,"The concert that went viral! 🙌

Watch The Chineke! Orchestra's #BBCProms debut on @BBCiPlayer. 🎶
https://t.co/xQxaLzeG6E"
2020-08-05 13:52:30,"#MeerkatManor is streaming now on 
@BBCiPlayer. https://t.co/gQ0cnnE8Yg"
